ano;mes;tempmaxabs;tempminabs;tempmaxmensal;tempmenmensal;tempmeda;ETP;precipitacao;DCCH
2008;maio ;29,6;7,1;26;13,4;19,7;64;50,5;4
2008;junho ;28,9;7,9;26,2;13,8;20;57;8,4;4
2008;julho ;31;8,7;27,5;11,8;19,7;61;0;0
2008;agosto ;32,3;10,4;29,6;15,5;22,5;81;19;7
2008;setembro ;35,7;9;29,8;15,3;22,6;94;8;4
2008;outubro ;37,6;14,4;31,1;18,9;25;133;47,6;14
2008;novembro ;34;15,3;30,7;18,5;24,6;136;117,6;18
2008;dezembro ;33,6;14,4;29,9;18,7;24,3;136;290,7;16
2009;janeiro ;33,3;16,1;29;19,1;24,1;133;231,2;21
2009;fevereiro ;33,7;18,2;30,2;19,9;25,1;125;173,6;12
2009;março ;34,6;18,2;30,2;19,7;24,9;125;89,7;13
2009;abril ;31,1;12,9;28,8;16,4;22,6;85;56,1;5
2009;maio ;30,2;11,6;27,6;15,1;21,4;70;22,8;5
2009;junho ;28;3,8;24,3;11,3;17,8;51;62,3;8
2009;julho ;30,4;5,8;27;13,9;20,4;63;47;4
2009;agosto ;32,1;7,7;27,6;14,4;21;75;124,9;7
2009;setembro ;33,5;12;29,2;17,2;23,2;96;181,2;11
2009;outubro ;33,1;13,8;30,1;18,2;24,1;123;112,4;13
2009;novembro ;34,6;18,9;31,6;20,4;26;150;194,1;16
2009;dezembro ;32,7;17,7;29,1;19,8;24,5;137;286,2;25
2010;janeiro ;33,7;18,9;30,2;20;25,1;146;242,9;20
2010;fevereiro ;34,4;17,9;31,7;20;25,9;135;142,7;16
2010;março ;33,6;15,8;31,1;19,1;25,1;126;151,1;17
2010;abril ;32,7;10,7;28,8;16,9;22,9;86;54,9;9
2010;maio ;30,8;6,8;26,7;13,1;19,9;65;19,8;5
2010;junho ;30,8;6,6;26,4;11,3;18,9;54;9,1;2
2010;julho ;30,6;10,4;28,2;13,8;21;65;24,4;3
2010;agosto ;34,2;6,4;29,4;12,5;21;75;0;0
2010;setembro ;35,9;13,3;30,9;16,8;23,9;104;92;11
2010;outubro ;35,5;11,1;30,3;16,7;23,5;120;64,5;11
2010;novembro ;34,4;14;30,4;18,1;24,3;128;119,6;19
2010;dezembro ;33,5;16,7;30,7;20;25,3;148;191;20
2011;janeiro ;33,5;18,8;30,3;20,1;25,2;146;185,6;21
2011;fevereiro ;33,6;17,9;31,3;19,6;25,5;127;170,5;15
2011;março ;32,4;17,5;27,5;19,1;23,3;106;472,3;24
2011;abril ;31,3;13;28,8;16,9;22,9;86;86,8;9
2011;maio ;30,1;7,4;26,9;13;19,9;65;8,7;4
2011;junho ;28,5;2,9;25,6;10,6;18,1;52;19,9;4
2011;julho ;30,8;6,8;27,6;13,2;20,4;63;0;0
2011;agosto ;34,4;3,8;29,5;14,5;22;79;12,5;2
2011;setembro ;35,5;8,2;31,2;15,1;23,1;96;11,8;4
2011;outubro ;35,8;14,1;29,7;17,8;23,8;121;194,1;12
2011;novembro ;33,1;11,8;29,2;16,7;22,9;115;201,7;11
2011;dezembro ;34,5;15,6;30,2;18,6;24,4;136;141,7;19
2012;janeiro ;32,4;16,1;28,1;18,2;23,2;122;295;22
2012;fevereiro ;34,4;16,9;31;19,2;25,1;130;93,7;9
2012;março ;36;16,2;31;18,5;24,8;124;117,2;10
2012;abril ;31,5;14,5;29,5;17,7;23,6;93;45,1;9
2012;maio ;29,1;8;25,1;14,1;19,6;64;57,5;9
2012;junho ;30,1;10,9;25,6;14,3;19,9;57;100,7;9
2012;julho ;30,6;4,7;26,5;11,9;19,2;59;21,4;4
2012;agosto ;29,4;9,8;27,9;13,8;20,8;75;0;0
2012;setembro ;35,6;6,6;31,1;15,6;23,4;97;73,1;7
2012;outubro ;37,9;14,4;32,9;19;26;145;61,3;5
2012;novembro ;37,5;14,5;30,8;18,7;24,7;137;158,7;14
2012;dezembro ;35,1;18,1;31,5;20,5;26;159;130,3;20
2013;janeiro ;32,6;16;29,7;19,1;24,4;135;292;19
2013;fevereiro ;34;17;30,1;19,2;24,7;123;205,2;19
2013;março ;33,3;13,7;29,3;18,6;24;115;162,6;18
2013;abril ;31,2;11,7;27,5;16,6;22,1;83;54;8
2013;maio ;30,4;7,9;27,4;14,5;21;68;87,4;5
2013;junho ;28,9;11,9;26,4;14,6;20,5;59;49,2;8
2013;julho ;30;4;25,5;11,7;18,6;57;29,3;5
2013;agosto ;32,1;4,7;28,1;12,2;20,2;68;0,8;1
2013;setembro ;35,9;9,6;29,4;15,7;22,5;93;59,3;7
2013;outubro ;33,9;12;28,9;16,7;22,8;111;95,8;12
2013;novembro ;35,7;15,6;29,3;18,4;23,8;126;167,1;12
2013;dezembro ;34,2;17,2;30,4;19,4;24,9;146;314,5;19
2014;janeiro ;35,4;17,1;32;19,1;25,6;155;105,8;15
2014;fevereiro ;35,1;17,4;31,9;19,2;25,5;133;55;12
2014;março ;32,9;17;30,4;18,7;24,5;123;76,7;14
2014;abril ;33,1;12,2;29;17,7;23,4;87;76,4;5
2014;maio ;30,4;8,5;26,7;14,2;20,4;67;0,8;2
2014;junho ;31,1;7,4;27,7;13,6;20,7;59;1,8;1
2014;julho ;31,2;8,5;25,9;13;19,5;60;29,7;5
2014;agosto ;33,1;10,9;29,8;14;21,9;79;0,3;1
2014;setembro ;35,6;13,3;31,6;17,1;24,3;106;70,6;9
2014;outubro ;38,8;13,1;32,6;18,6;25,6;143;36,6;4
2014;novembro ;34,7;16,7;31,1;19,6;25,3;140;110,8;12
2014;dezembro ;36;16;30,1;19,2;24,7;144;239,8;17
2015;janeiro ;36,7;18;32,6;20,1;26,3;160;147,8;14
2015;fevereiro ;34,3;17,4;30,4;19,2;24,8;124;238,5;15
2015;março ;31,3;16,7;28,1;18,8;23,5;107;177,5;19
2015;abril ;31,7;12,3;29,1;17,5;23,3;87;29,1;4
2015;maio ;30,2;11;25,8;14,9;20,4;66;94,4;8
2015;junho ;29,8;11,1;26,1;14,1;20,1;57;25,6;5
2015;julho ;30,4;12,5;26,3;14,3;20,3;62;13,6;5
2015;agosto ;33;11,5;29,2;14,5;21,9;79;3,3;2
2015;setembro ;37;13,5;30,6;17,5;24;105;93;11
2015;outubro ;39;16;33,6;19,9;26,7;156;53,2;5
2015;novembro ;34,6;18;30,5;19,7;25,1;139;210,3;21
2015;dezembro ;34,2;7,2;30,1;19;24,5;144;148,3;17
2016;janeiro ;32,4;17,8;28,9;20;24,5;136;356,5;21
2016;fevereiro ;34,1;18,3;31,2;20;25,6;138;226,7;17
2016;março ;32,7;17,8;30;19,5;24,8;124;141;15
2016;abril ;34,2;8,5;30,9;17,8;24,3;96;6,7;5
2016;maio ;31,2;8,3;26,6;14,3;20,5;67;98,5;11
2016;junho ;28,7;4,3;24,8;12,4;18,6;53;75,9;8
2016;julho ;30,8;4,1;27,8;12,4;20,1;62;0;0
2016;agosto ;33,9;6,2;28,5;13,3;20,9;75;35,7;8
2016;setembro ;35,6;10,4;30,3;15,4;22,8;95;20,1;6
2016;outubro ;36,9;9,7;31,4;17,7;24,6;131;98,8;13
2016;novembro ;33,3;11,2;29,6;18,1;23,9;118;227,3;12
2016;dezembro ;33,5;16,7;30,2;19,2;24,7;130;164,8;19
2017;janeiro ;34,5;17,8;29,7;19,7;24,7;143;232,2;21
