Cod_Municipio;RRAS;Ano2018;Ano2019;Ano2020;Ano2021;Ano2022;Ano2023
352630 LAGOINHA;RRAS17;37;55;37;47;39;38
352640 LARANJAL PAULISTA;RRAS9;417;362;370;354;335;317
352650 LAVINIA;RRAS19;43;45;43;32;54;36
352660 LAVRINHAS;RRAS17;99;82;107;94;97;89
352670 LEME;RRAS14;1197;1125;1210;1019;1015;1005
352680 LENCOIS PAULISTA;RRAS9;836;814;807;837;827;789
352690 LIMEIRA;RRAS14;3905;3499;3343;3198;3255;3148
352700 LINDOIA;RRAS15;75;73;72;85;63;67
352710 LINS;RRAS9;1016;905;868;814;797;838
352720 LORENA;RRAS17;1242;1098;1040;1101;1028;1011
352725 LOURDES;RRAS19;20;13;21;16;18;17
352730 LOUVEIRA;RRAS16;792;808;781;740;711;722
352740 LUCELIA;RRAS10;192;203;192;179;172;155
352750 LUCIANOPOLIS;RRAS9;26;25;28;28;24;31
352760 LUIS ANTONIO;RRAS13;166;154;150;170;146;139
352770 LUIZIANIA;RRAS19;67;56;53;72;69;66
352780 LUPERCIO;RRAS10;54;43;48;44;45;47
352790 LUTECIA;RRAS10;35;36;23;38;20;33
352800 MACATUBA;RRAS9;190;201;200;203;161;185
352810 MACAUBAL;RRAS12;81;79;66;63;73;68
352820 MACEDONIA;RRAS12;38;39;36;41;40;34
352830 MAGDA;RRAS12;29;29;20;18;26;21
352840 MAIRINQUE;RRAS8;651;685;653;613;583;628
352850 MAIRIPORA;RRAS3;1124;1020;1053;1016;949;910
352860 MANDURI;RRAS9;95;115;92;103;82;90
352870 MARABA PAULISTA;RRAS11;34;39;38;35;31;36
352880 MARACAI;RRAS10;171;144;168;142;106;124
352885 MARAPOAMA;RRAS12;42;31;37;31;32;46
352890 MARIAPOLIS;RRAS10;36;43;32;37;28;43
352900 MARILIA;RRAS10;3114;3051;2932;2786;2812;2628
352910 MARINOPOLIS;RRAS12;15;14;15;15;17;18
352920 MARTINOPOLIS;RRAS11;305;311;277;275;260;272
352930 MATAO;RRAS18;959;943;872;794;786;839
352940 MAUA;RRAS1;5501;5091;4909;4562;4390;4404
352950 MENDONCA;RRAS12;71;82;73;57;76;70
352960 MERIDIANO;RRAS12;30;35;46;39;38;34
352965 MESOPOLIS;RRAS12;25;32;19;23;20;16
352970 MIGUELOPOLIS;RRAS13;269;228;264;216;228;204
352980 MINEIROS DO TIETE;RRAS9;158;153;119;113;135;118
353000 MIRA ESTRELA;RRAS12;38;26;24;29;25;32
352990 MIRACATU;RRAS7;296;307;271;279;245;233
353010 MIRANDOPOLIS;RRAS19;279;239;230;242;204;223
353020 MIRANTE DO PARANAPANEMA;RRAS11;183;174;163;167;164;134
353030 MIRASSOL;RRAS12;776;732;762;703;725;664
353040 MIRASSOLANDIA;RRAS12;61;62;49;65;45;58
353050 MOCOCA;RRAS15;799;750;691;695;715;658
353060 MOGI DAS CRUZES;RRAS2;6524;6370;5989;5662;5393;5223
353070 MOGI GUACU;RRAS15;1979;1914;1800;1696;1741;1751
353080 MOGI MIRIM;RRAS15;1046;1043;944;941;909;931
353090 MOMBUCA;RRAS14;59;50;59;53;52;40
353100 MONCOES;RRAS12;32;21;16;15;14;10
353110 MONGAGUA;RRAS7;783;720;750;747;703;667
353120 MONTE ALEGRE DO SUL;RRAS15;59;86;58;65;73;66
353130 MONTE ALTO;RRAS13;523;570;467;454;464;422
353140 MONTE APRAZIVEL;RRAS12;254;241;261;190;215;251
